Epoch	Train_MSE	Train_CosineLoss	Val_Pearson	Val_Spearman
1	0.2256	0.0890	0.6137	0.7646
2	0.2021	0.0905	0.7704	0.8613
3	0.1921	0.0960	0.8156	0.8803
4	0.1879	0.0985	0.8158	0.8912
5	0.1869	0.0984	0.8305	0.8982
6	0.1838	0.1007	0.8364	0.8981
7	0.1842	0.0996	0.8416	0.9074
8	0.1834	0.1004	0.8446	0.9048
9	0.1820	0.1019	0.8502	0.9107
10	0.1813	0.1016	0.8428	0.9146
11	0.1809	0.1018	0.8566	0.9149
12	0.1800	0.1021	0.8556	0.9106
13	0.1806	0.1016	0.8521	0.9044
14	0.1795	0.1025	0.8489	0.9139
15	0.1800	0.1020	0.8595	0.9108
16	0.1790	0.1034	0.8542	0.9057
17	0.1787	0.1033	0.8503	0.9093
18	0.1790	0.1029	0.8543	0.9099
19	0.1781	0.1037	0.8438	0.9047
20	0.1782	0.1033	0.8540	0.9070
