loss,grad_norm,learning_rate,epoch,step,eval_loss,eval_runtime,eval_samples_per_second,eval_steps_per_second
2.2264,0.409250408411026,1.9975609756097564e-05,0.023952095808383235,1,,,,
,,,0.023952095808383235,1,2.1725878715515137,5.0629,29.43,3.753
2.125,0.3589264154434204,1.9951219512195123e-05,0.04790419161676647,2,,,,
,,,0.04790419161676647,2,2.157352924346924,5.0655,29.415,3.751
2.1531,0.37204596400260925,1.9926829268292685e-05,0.0718562874251497,3,,,,
,,,0.0718562874251497,3,2.1425836086273193,5.0726,29.374,3.746
2.105,0.3716399669647217,1.9902439024390247e-05,0.09580838323353294,4,,,,
,,,0.09580838323353294,4,2.126131772994995,5.0779,29.343,3.742
2.0848,0.36710694432258606,1.9878048780487806e-05,0.11976047904191617,5,,,,
,,,0.11976047904191617,5,2.110927104949951,5.0812,29.324,3.739
2.0433,0.37011605501174927,1.9853658536585368e-05,0.1437125748502994,6,,,,
,,,0.1437125748502994,6,2.095503568649292,5.0761,29.353,3.743
2.115,0.4299866855144501,1.9829268292682927e-05,0.16766467065868262,7,,,,
,,,0.16766467065868262,7,2.078188896179199,5.0743,29.364,3.744
2.0647,0.40581393241882324,1.980487804878049e-05,0.19161676646706588,8,,,,
,,,0.19161676646706588,8,2.0603814125061035,5.0747,29.361,3.744
2.0629,0.4157918393611908,1.978048780487805e-05,0.2155688622754491,9,,,,
,,,0.2155688622754491,9,2.0417704582214355,5.0737,29.367,3.745
2.0271,0.4526093006134033,1.975609756097561e-05,0.23952095808383234,10,,,,
,,,0.23952095808383234,10,2.024430513381958,5.0736,29.368,3.745
1.93,0.43648290634155273,1.9731707317073172e-05,0.2634730538922156,11,,,,
,,,0.2634730538922156,11,2.007009267807007,5.0737,29.367,3.745
2.0004,0.46511125564575195,1.9707317073170734e-05,0.2874251497005988,12,,,,
,,,0.2874251497005988,12,1.988300085067749,5.0742,29.364,3.744
1.959,0.5160858631134033,1.9682926829268293e-05,0.31137724550898205,13,,,,
,,,0.31137724550898205,13,1.969196081161499,5.0736,29.368,3.745
1.9455,0.5118154883384705,1.9658536585365856e-05,0.33532934131736525,14,,,,
,,,0.33532934131736525,14,1.948349952697754,5.0734,29.369,3.745
1.9016,0.4996089041233063,1.9634146341463414e-05,0.3592814371257485,15,,,,
,,,0.3592814371257485,15,1.926543951034546,5.0736,29.368,3.745
1.8672,0.5244654417037964,1.9609756097560977e-05,0.38323353293413176,16,,,,
,,,0.38323353293413176,16,1.9048435688018799,5.0741,29.365,3.744
1.8932,0.5301554799079895,1.958536585365854e-05,0.40718562874251496,17,,,,
,,,0.40718562874251496,17,1.884343147277832,5.0733,29.369,3.745
1.9286,0.5418736338615417,1.9560975609756098e-05,0.4311377245508982,18,,,,
,,,0.4311377245508982,18,1.8636876344680786,5.0735,29.368,3.745
1.8225,0.52956622838974,1.953658536585366e-05,0.4550898203592814,19,,,,
,,,0.4550898203592814,19,1.843360185623169,5.0734,29.369,3.745
1.8309,0.5693985223770142,1.9512195121951222e-05,0.47904191616766467,20,,,,
,,,0.47904191616766467,20,1.8234763145446777,5.074,29.365,3.745
1.7852,0.5347357988357544,1.948780487804878e-05,0.5029940119760479,21,,,,
